date,pnl,longsize,shortsize,ret,holdpnl,tradepnl,poscov,negcov,pospnl,negpnl,IC,index_ret,rankpnl1,rankpnl2,rankpnl3,rankpnl4,rankpnl5,rankpnl6,rankpnl7,rankpnl8,rankpnl9,rankpnl10
20190304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190305,-14000.0,10000000.0,-10000000.0,-0.0007,0.0,0.0,2395,900,-2000.0,-12000.0,nan,0.008809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190306,121630.48,10000000.0,-10000000.0,0.006082,-112610.34109917836,242369.2999609012,2391,1027,239305.84,-117675.37,0.115004,0.015668,61909.48,49565.85,44514.04,35812.9,28057.58,16401.94,6107.51,-3718.85,-27070.01,-81821.48
20190307,140159.53,10000000.0,-10000000.0,0.007008,92703.71336855368,52088.550193181014,2377,1059,192386.06,-52226.53,0.119848,0.001392,51669.24,38649.99,35491.74,27463.82,23770.85,12457.35,4877.17,-5746.48,-22597.74,-21243.67
20190308,-188381.43,10000000.0,-10000000.0,-0.009419,-52890.31422332824,-130002.1564144504,2394,1089,-500384.33,312002.9,-0.122615,-0.043959,-123460.85,-106618.7,-87915.46,-71922.82,-58727.91,-38233.34,-11427.75,22848.47,78046.5,214519.39
20190311,69973.01,10000000.0,-10000000.0,0.003499,-88415.85969165384,163456.64773642915,2413,1084,446734.26,-376761.24,0.07052,0.019237,117889.36,100025.44,77711.1,62910.02,47931.04,32331.16,9585.53,-19186.69,-74039.96,-280116.2
20190312,-6226.92,10000000.0,-10000000.0,-0.000311,-74903.91251864664,71298.33515593552,2444,1057,181006.12,-187233.03,-0.003623,0.011006,49038.38,35718.01,30372.55,27602.21,19370.23,15038.65,4708.66,-10281.98,-33348.85,-141823.43
20190313,193789.04,10000000.0,-10000000.0,0.009689,244141.4506985266,-48716.829544014676,2436,1066,-158077.48,351866.52,0.144607,-0.0109,-45957.46,-36154.37,-24405.53,-21786.84,-13065.47,-12135.9,-4008.07,8222.61,42076.49,302639.17
20190314,-6007.32,10000000.0,-10000000.0,-0.0003,29397.360394329422,-33656.58209610637,2437,1070,-275285.55,269278.23,-0.003298,-0.011981,-74099.97,-52817.36,-47486.84,-41674.09,-30795.25,-19706.45,-8051.42,13628.69,44703.4,212040.07
20190315,115726.22,10000000.0,-10000000.0,0.005786,101843.5375483605,15384.556714434482,2446,1080,189208.71,-73482.5,0.116337,0.010388,55980.52,35354.49,31563.54,26725.03,22449.57,12845.91,4792.46,-6913.65,-18621.35,-46948.44
20190318,-19564.72,10000000.0,-10000000.0,-0.000978,-45145.53321564159,26905.961744028253,2453,1074,240090.54,-259655.26,-0.020004,0.02471,61888.58,52120.3,42979.7,34007.31,27100.59,16600.88,5914.1,-10567.23,-40660.03,-207623.77
20190319,-10711.3,10000000.0,-10000000.0,-0.000536,-13758.08451254707,4705.777334002931,2446,1081,37843.61,-48554.91,-0.009557,-0.001758,12294.17,1936.72,7605.66,6361.28,5501.28,2864.55,1904.34,-1596.44,-8380.73,-37543.14
20190320,76687.68,10000000.0,-10000000.0,0.003834,80069.46836744562,-2112.8841850130266,2440,1087,26212.52,50475.16,0.079179,-0.000108,7250.72,7268.88,-123.89,5823.1,3723.74,1777.02,1015.92,151.67,5249.96,45819.45
20190321,47721.38,10000000.0,-10000000.0,0.002386,40825.921386870694,8064.69460547682,2444,1083,123748.47,-76027.09,0.054988,0.003499,33479.84,27554.84,19485.06,16199.96,14314.03,9640.85,3536.1,-5059.08,-14520.84,-55740.15
20190322,66154.93,10000000.0,-10000000.0,0.003308,66687.10787436686,1319.4383111894276,2429,1099,65446.67,708.26,0.064894,0.000869,13774.17,15408.37,11064.95,15685.69,5634.01,2030.66,2534.18,-2168.72,-7904.07,11947.3
20190325,26027.86,10000000.0,-10000000.0,0.001301,43213.554369126985,-14105.378341848998,2431,1099,-75167.72,101195.59,0.024942,-0.019689,-14878.4,-16260.43,-12926.3,-8520.26,-11511.5,-8234.98,-1710.31,4488.16,18209.26,80452.94
20190326,-72523.47,10000000.0,-10000000.0,-0.003626,-12145.392969557022,-57978.63379392016,2411,1120,-270511.85,197988.39,-0.063712,-0.015095,-72710.77,-54718.85,-46998.5,-41033.88,-29237.9,-19662.64,-5063.01,12322.55,44678.06,142300.9
20190327,-559.67,10000000.0,-10000000.0,-2.8e-05,-13834.804341039311,15064.41748854725,2392,1140,60361.52,-60921.19,0.001199,0.00855,17648.89,7009.24,13342.25,7123.07,8735.61,5867.21,1277.56,-4989.86,-21094.11,-33690.24
20190328,14111.58,10000000.0,-10000000.0,0.000706,30854.324852682417,-13821.598896476818,2400,1132,-131798.53,145910.11,0.016703,-0.009189,-30639.87,-27662.01,-23559.36,-24867.32,-12728.59,-8311.68,-2791.41,7360.41,21186.2,119046.36
20190329,-19374.06,10000000.0,-10000000.0,-0.000969,-79888.29954132586,63074.345498450304,2403,1129,265773.01,-285147.08,-0.019432,0.031992,70269.51,54189.41,47599.02,36972.64,32194.57,20680.85,4545.34,-16795.2,-49826.48,-216643.62
20190401,6930.02,10000000.0,-10000000.0,0.000347,-58095.87106434755,66773.14831569321,2402,1130,353431.32,-346501.3,0.011344,0.025755,94723.85,72796.18,59487.87,50556.99,41822.34,26780.32,7394.59,-20541.57,-71438.05,-252905.25
20190402,48582.7,10000000.0,-10000000.0,0.002429,46217.38536408841,4339.284711114342,2402,1130,71413.97,-22831.27,0.051425,0.002038,16440.55,14457.56,13825.71,12246.04,8782.53,5080.55,1290.79,-1675.59,-15126.45,-4765.01
20190403,137825.71,10000000.0,-10000000.0,0.006891,133497.9476281141,6064.9724080319575,2397,1136,145223.05,-7397.34,0.150628,0.012425,36942.79,31234.66,27486.41,19033.98,18678.77,9858.61,2579.62,-5198.89,-14338.51,13285.48
20190404,65568.76,10000000.0,-10000000.0,0.003278,64276.44822201017,3169.7305430448832,2396,1137,54203.92,11364.84,0.072732,0.009413,13644.43,12842.06,8595.25,9656.74,5880.71,3612.49,679.04,-1828.96,-3352.59,17717.0
20190408,66630.54,10000000.0,-10000000.0,0.003332,72863.94504438978,-4480.132668491162,2401,1132,-5661.22,72291.75,0.057957,-0.000542,-7107.71,5229.46,-2357.63,3215.14,-908.92,-2021.74,-915.15,2200.79,9804.62,61244.96
20190409,46164.25,10000000.0,-10000000.0,0.002308,37842.341236224565,10235.038196761008,2395,1138,72670.52,-26506.27,0.047225,-0.001586,28472.38,19694.98,9144.49,8467.6,5378.03,1819.79,356.74,-1034.67,-410.18,-23811.77
20190410,82741.99,10000000.0,-10000000.0,0.004137,91388.25932654615,-6472.421775810639,2410,1123,32484.94,50257.05,0.085216,0.000699,21773.81,5853.22,5753.1,829.27,-792.62,372.41,-412.04,3523.82,8017.24,39997.63
20190411,72280.18,10000000.0,-10000000.0,0.003614,106559.28044660835,-32048.097993272677,2383,1150,-145987.77,218267.95,0.0743,-0.01603,-34690.13,-33622.64,-27430.45,-18115.77,-15926.67,-11290.59,-3654.83,11412.0,44840.12,162990.14
20190412,33148.65,10000000.0,-10000000.0,0.001657,41625.625946747925,-6660.820998016978,2390,1143,1237.23,31911.41,0.031776,-0.000419,-8713.64,3396.95,1586.93,3293.11,-666.05,2643.93,389.23,752.07,3654.34,28627.94
20190415,11569.16,10000000.0,-10000000.0,0.000578,23212.94893376142,-9981.199162274184,2390,1143,-76358.74,87927.9,0.012886,-0.003399,-22327.99,-16634.18,-12640.83,-8775.03,-9181.32,-4454.58,-1516.29,5226.81,14324.07,69211.09
20190416,17518.83,10000000.0,-10000000.0,0.000876,-6827.710240869768,26092.612788401028,2392,1142,202997.46,-185478.63,0.019875,0.023857,58928.57,44675.48,33190.39,27205.57,22765.51,13340.92,3323.95,-12120.95,-41767.67,-130276.87
20190417,30516.15,10000000.0,-10000000.0,0.001526,25437.55898664659,7009.372281408541,2400,1135,108202.68,-77686.53,0.032811,0.002926,38615.6,24125.55,18346.85,13485.1,7595.27,5486.94,1223.45,-1357.0,-20317.3,-54757.51
20190418,23288.07,10000000.0,-10000000.0,0.001164,33459.50546296824,-8328.677665371993,2411,1124,-43704.78,66992.85,0.024606,-0.003958,-6329.11,-7409.7,-9840.39,-8130.87,-5561.68,-3867.49,-1840.93,4661.47,15799.29,47650.26
20190419,47841.03,10000000.0,-10000000.0,0.002392,37992.37083130706,11419.913016782557,2410,1125,96676.73,-48835.7,0.050818,0.006337,36778.27,19390.79,15321.39,11467.33,8845.43,4454.93,977.33,-3294.51,-7242.73,-37285.94
20190422,30292.56,10000000.0,-10000000.0,0.001515,46056.749583305405,-14138.11157230178,2405,1130,-112496.15,142788.72,0.02882,-0.017046,-24475.23,-24272.15,-21477.0,-18443.48,-12521.47,-7474.44,-3043.67,7342.34,24724.35,111559.39
20190423,-42695.74,10000000.0,-10000000.0,-0.002135,-23673.37249668203,-16670.40088485789,2421,1114,-193853.33,151157.59,-0.034568,-0.005116,-52706.73,-47688.24,-29378.48,-27460.22,-19777.77,-12595.76,-3146.73,9350.29,36547.69,106512.16
20190424,27697.46,10000000.0,-10000000.0,0.001385,16574.865454116116,13142.137673336154,2418,1117,102413.26,-74715.8,0.029746,0.000944,26678.74,26637.92,20174.21,11422.43,7968.52,9068.28,1136.45,-4205.8,-16534.52,-52629.24
20190425,-103690.8,10000000.0,-10000000.0,-0.005185,-46321.10054504745,-55175.857430834716,2433,1117,-419996.42,316305.61,-0.090729,-0.024296,-113214.01,-90156.87,-73152.99,-58566.71,-45862.54,-29388.78,-8527.78,19860.44,74055.11,223457.2
20190426,-438.21,10000000.0,-10000000.0,-2.2e-05,19232.578108900427,-17083.234093755655,2416,1134,-128081.21,127643.0,0.001833,-0.011981,-34542.55,-27211.27,-25569.23,-14808.92,-14797.91,-7624.51,-2211.32,7046.65,23603.98,98264.43
20190429,-84743.12,10000000.0,-10000000.0,-0.004237,-39170.23051771114,-43467.024212681164,2420,1130,-365361.03,280617.91,-0.060228,-0.007744,-98093.57,-73057.49,-69533.36,-52633.94,-39177.22,-24403.77,-7170.51,22391.76,70804.47,188236.38
20190430,108764.52,10000000.0,-10000000.0,0.005438,100704.50853083516,11153.767293380195,2416,1135,128618.5,-19853.98,0.097426,0.005172,39009.32,27919.0,23909.28,17644.58,12582.02,6238.51,2311.37,-3492.01,-15397.55,1133.74
20190506,36561.14,10000000.0,-10000000.0,0.001828,212017.0821133242,-173601.1083158299,2415,1136,-711893.03,748454.17,0.031117,-0.055834,-185798.82,-150325.9,-127461.19,-104691.72,-78790.65,-49673.52,-13454.2,45330.29,152967.11,550314.59
20190507,34163.17,10000000.0,-10000000.0,0.001708,23425.698665125743,13477.501527401782,2409,1142,149216.87,-115053.7,0.031993,0.006856,39410.67,36464.91,26897.14,19929.1,14228.32,11099.57,2176.52,-8777.15,-38059.61,-66466.26
20190508,12003.32,10000000.0,-10000000.0,0.0006,13681.660415225264,-287.43684836505236,2413,1138,-7114.73,19118.05,0.012508,-0.011152,-1399.91,214.92,-1272.51,-410.77,-2617.41,-272.57,-847.16,411.31,823.95,18764.39
20190509,24730.32,10000000.0,-10000000.0,0.001237,39734.19174121032,-13495.05926897878,2411,1141,-78392.1,103122.42,0.025973,-0.014791,-20833.32,-17060.18,-14854.28,-10358.49,-7672.45,-5304.83,-1683.45,5535.22,15993.0,82477.91
20190510,-108766.03,10000000.0,-10000000.0,-0.005438,-152965.6274502384,45550.329745130555,2397,1155,314427.38,-423193.41,-0.123677,0.030957,80613.02,68234.64,54996.6,44351.83,36083.28,23951.93,6288.81,-22864.84,-75399.6,-323670.97
20190513,-16847.63,10000000.0,-10000000.0,-0.000842,-4677.677705205088,-10764.447684938252,2403,1150,-64520.74,47673.1,-0.015069,-0.012077,-18903.64,-12466.47,-12555.65,-10071.51,-5877.22,-3239.79,-848.53,3189.65,9625.53,35705.52
20190514,-37343.52,10000000.0,-10000000.0,-0.001867,-28480.478113774654,-7603.758679292951,2402,1151,-86564.63,49221.11,-0.039908,-0.006923,-27835.37,-18606.83,-13592.59,-10747.11,-8742.54,-5634.54,-804.1,4362.6,5889.2,39627.02
20190515,-8618.53,10000000.0,-10000000.0,-0.000431,-27965.229263316553,20871.493571264986,2418,1135,213799.4,-222417.93,-0.008193,0.019097,56597.12,47500.45,34916.54,31306.71,25293.5,15204.27,3325.01,-13567.87,-43275.36,-164394.12
20190516,67361.87,10000000.0,-10000000.0,0.003368,63252.95031995568,5652.288821863083,2401,1153,100918.92,-33557.05,0.06974,0.005796,27733.39,25164.18,16661.87,13479.11,9869.94,7053.81,1523.89,-2359.08,-8449.82,-21772.06
