date,pnl,longsize,shortsize,ret,holdpnl,tradepnl,poscov,negcov,pospnl,negpnl,IC,index_ret,rankpnl1,rankpnl2,rankpnl3,rankpnl4,rankpnl5,rankpnl6,rankpnl7,rankpnl8,rankpnl9,rankpnl10
20190304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190305,-14000.0,10000000.0,-10000000.0,-0.0007,0.0,0.0,2395,900,-2000.0,-12000.0,nan,0.008809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190306,121630.48,10000000.0,-10000000.0,0.006082,-112610.34109917836,242369.2999609012,2391,1027,239305.84,-117675.37,0.115004,0.015668,61909.48,49565.85,44514.04,35812.9,28057.58,16401.94,6107.51,-3718.85,-27070.01,-81821.48
20190307,140159.53,10000000.0,-10000000.0,0.007008,92703.71336855368,52088.550193181014,2377,1059,192386.06,-52226.53,0.119848,0.001392,51669.24,38649.99,35491.74,27463.82,23770.85,12457.35,4877.17,-5746.48,-22597.74,-21243.67
20190308,-188381.43,10000000.0,-10000000.0,-0.009419,-52890.31422332824,-130002.1564144504,2394,1089,-500384.33,312002.9,-0.122615,-0.043959,-123460.85,-106618.7,-87915.46,-71922.82,-58727.91,-38233.34,-11427.75,22848.47,78046.5,214519.39
20190311,69476.85,10000000.0,-10000000.0,0.003474,-88415.85969165384,163456.64773642915,2424,1073,446531.51,-377054.67,0.07052,0.019237,117889.36,100025.44,77711.1,62910.02,47931.04,32331.16,9585.53,-19186.69,-74039.96,-280116.2
20190312,-9573.73,10000000.0,-10000000.0,-0.000479,-79750.91602040413,73950.44490098994,2454,1047,182310.31,-191884.04,-0.005941,0.011006,49926.2,38135.31,28763.75,28205.77,20034.37,13271.7,5383.25,-10540.28,-35143.98,-143836.57
20190313,188453.69,10000000.0,-10000000.0,0.009423,259208.8223675004,-67725.15404478705,2454,1048,-159396.74,347850.43,0.138578,-0.0109,-49431.01,-32663.58,-25733.89,-20098.36,-14224.94,-10603.6,-5484.04,6799.36,42687.91,300235.8
20190314,-9725.82,10000000.0,-10000000.0,-0.000486,55491.54404537633,-62051.129446740095,2451,1056,-277917.32,268191.49,-0.004864,-0.011981,-76597.6,-56141.94,-46891.52,-39105.43,-29030.73,-20685.96,-8226.86,10373.49,47289.6,212457.36
20190315,112196.48,10000000.0,-10000000.0,0.00561,90548.8022078803,25174.738113155414,2471,1055,187588.52,-75392.04,0.110995,0.010388,52446.06,36692.28,31601.21,26147.4,22363.2,13967.31,5661.21,-5066.83,-17046.98,-51041.33
20190318,-7768.79,10000000.0,-10000000.0,-0.000388,-68019.60507091963,65076.200329499996,2454,1073,238903.61,-246672.4,-0.003055,0.02471,64354.25,49416.28,38666.99,34996.67,27475.19,18762.61,7123.95,-7839.49,-37815.93,-198083.92
20190319,-14821.5,10000000.0,-10000000.0,-0.000741,-22562.88049111011,11616.996081493546,2418,1109,35869.78,-50691.29,-0.011908,-0.001758,10972.18,3625.32,6239.6,5856.98,4545.96,4518.23,1545.62,-2894.99,-4162.73,-41192.03
20190320,73398.15,10000000.0,-10000000.0,0.00367,85076.0261932466,-8993.294517615912,2420,1107,28086.56,45311.59,0.082939,-0.000108,10569.02,4727.76,4245.46,3074.66,4343.29,1600.57,628.96,549.59,6185.71,40157.7
20190321,44397.42,10000000.0,-10000000.0,0.00222,30855.858468690094,18201.614585697083,2383,1144,120019.67,-75622.25,0.057545,0.003499,28081.24,25212.77,25334.97,18866.85,12205.82,9260.33,2544.72,-6347.38,-14414.76,-51687.07
20190322,36834.97,10000000.0,-10000000.0,0.001842,43225.83954001234,-542.0651216144615,2450,1078,62613.32,-25778.35,0.041152,0.000869,15547.84,18374.34,9768.98,12246.17,4918.88,3379.75,848.12,-3277.57,-3976.05,-15146.69
20190325,39446.85,10000000.0,-10000000.0,0.001972,76161.82417530351,-33051.23705792296,2457,1073,-73921.42,113368.27,0.034905,-0.019689,-11459.21,-16082.69,-13250.75,-13976.89,-8950.5,-5427.56,-3320.89,4990.33,18343.17,92245.57
20190326,-82476.89,10000000.0,-10000000.0,-0.004124,-13125.084397401977,-63664.740948196384,2420,1111,-271564.13,189087.24,-0.064638,-0.015095,-70590.29,-53760.29,-47910.53,-40729.84,-29614.47,-19538.73,-7390.15,11360.25,46462.84,134921.38
20190327,-37342.49,10000000.0,-10000000.0,-0.001867,-76880.18885339002,43934.670624887454,2414,1118,52899.19,-90241.68,-0.0328,0.00855,18093.56,6333.91,9012.86,4523.42,9552.75,5091.2,2108.9,-3960.94,-16654.69,-67046.5
20190328,43287.23,10000000.0,-10000000.0,0.002164,88698.86089444484,-41850.80601006494,2431,1101,-129130.18,172417.41,0.047455,-0.009189,-29854.28,-25952.25,-25922.7,-16821.43,-15509.79,-10989.36,-2786.94,7748.13,30131.05,136805.62
20190329,-6183.89,10000000.0,-10000000.0,-0.000309,-69849.92677014176,67026.6587576397,2441,1091,268016.54,-274200.42,-0.003369,0.031992,71715.33,54422.46,45041.69,40250.6,31136.44,20160.97,6365.87,-14744.86,-43772.1,-213399.66
20190401,-5538.52,10000000.0,-10000000.0,-0.000277,-91129.4698422762,89109.64336195654,2433,1099,349891.33,-355429.85,-0.002646,0.025755,91051.66,73408.1,57088.76,49812.25,41230.25,29152.23,9341.79,-19379.97,-70630.99,-263093.92
20190402,48427.38,10000000.0,-10000000.0,0.002421,34066.88084099247,18085.177030453306,2420,1112,68720.76,-20293.37,0.051895,0.002038,15866.38,15999.89,9968.13,13676.35,7565.99,5803.56,1137.66,-2382.05,-8797.26,-6686.61
20190403,106857.72,10000000.0,-10000000.0,0.005343,104098.15759951249,7188.99296507964,2430,1103,140801.87,-33944.14,0.115793,0.012425,33298.51,31757.78,25326.15,21423.0,16727.77,10630.52,3420.69,-5339.39,-11194.51,-14763.37
20190404,58797.95,10000000.0,-10000000.0,0.00294,59236.71854515115,3596.6260822336917,2405,1128,49047.87,9750.09,0.06457,0.009413,10189.61,9505.64,9718.37,9628.68,7643.59,2135.68,1777.26,-2708.02,-935.13,15877.66
20190408,54604.01,10000000.0,-10000000.0,0.00273,76490.2384165869,-18495.543294546835,2395,1138,-14311.35,68915.36,0.046539,-0.000542,-13913.16,3937.44,2600.39,750.03,-2358.9,-3313.79,-823.7,2760.89,11299.68,57055.81
20190409,45593.97,10000000.0,-10000000.0,0.00228,35708.74650590445,14106.965344339384,2401,1132,74625.93,-29031.96,0.046611,-0.001586,33456.32,15142.8,12232.82,6464.91,6061.77,2350.12,487.41,-507.75,-8833.79,-17038.89
20190410,69140.46,10000000.0,-10000000.0,0.003457,78905.33363280007,-5706.262449745409,2405,1128,26054.09,43086.37,0.073952,0.000699,14773.04,1901.22,7801.51,3420.81,943.93,-994.25,-326.9,2766.56,13352.4,29560.76
20190411,61605.52,10000000.0,-10000000.0,0.00308,123519.7756898409,-57855.6144436723,2439,1094,-149979.69,211585.21,0.064834,-0.01603,-40795.42,-29208.73,-25530.6,-19169.88,-19018.2,-11428.14,-3175.32,11372.5,43473.92,159144.03
20190412,37644.86,10000000.0,-10000000.0,0.001882,42975.851748224246,-1907.0482359417874,2438,1095,-281.39,37926.25,0.033886,-0.000419,-10323.75,4111.37,6422.92,1473.0,-547.96,-659.8,601.7,-249.0,4023.72,36216.6
20190415,-5935.66,10000000.0,-10000000.0,-0.000297,18415.413536266788,-21118.353165532815,2428,1105,-79753.85,73818.19,-0.002382,-0.003399,-22367.1,-17025.07,-15186.14,-7596.96,-7757.63,-6659.98,-1878.03,3303.88,16129.68,56334.42
20190416,19791.9,10000000.0,-10000000.0,0.00099,-18069.006721765363,42416.58520536549,2469,1065,199233.26,-179441.35,0.022186,0.023857,55779.12,44539.6,33140.44,26990.69,21007.21,15420.27,4104.92,-9305.37,-35989.13,-131340.18
20190417,16162.13,10000000.0,-10000000.0,0.000808,-4166.65368534713,24656.87262419091,2456,1079,99803.85,-83641.73,0.018341,0.002926,31584.5,24029.88,15663.61,13156.56,8753.86,6144.89,2162.17,-3392.05,-14728.48,-62884.71
20190418,14088.96,10000000.0,-10000000.0,0.000704,36519.74627145848,-18605.506408499055,2436,1099,-46222.94,60311.91,0.016687,-0.003958,-8322.23,-4964.13,-12584.81,-5755.37,-7285.96,-4187.91,-1623.76,4316.54,17609.22,40712.63
20190419,36512.25,10000000.0,-10000000.0,0.001826,28568.310242170985,11818.08995964782,2459,1076,93693.55,-57181.3,0.041389,0.006337,33994.68,20728.21,11050.03,9743.78,11577.95,6519.82,1577.41,-2371.99,-6638.47,-45795.03
20190422,42774.43,10000000.0,-10000000.0,0.002139,77390.89907885171,-31234.74786368227,2426,1109,-111462.8,154237.23,0.041999,-0.017046,-26676.71,-18233.2,-18685.58,-18612.71,-12723.62,-11795.75,-3428.19,6850.99,25177.46,124283.45
20190423,-22747.9,10000000.0,-10000000.0,-0.001137,28218.489655689234,-46870.93910633221,2411,1124,-190181.19,167433.29,-0.016733,-0.005116,-47816.81,-42737.86,-31942.06,-27765.7,-22065.59,-12481.63,-3670.85,8163.42,31670.18,129994.45
20190424,13903.39,10000000.0,-10000000.0,0.000695,-8097.737526185336,27110.20782648179,2436,1099,98554.13,-84650.74,0.020414,0.000944,26731.96,23345.75,20397.43,12127.03,7397.21,8380.41,2125.89,-4896.65,-17499.76,-59096.79
20190425,-86471.79,10000000.0,-10000000.0,-0.004324,52366.263608970694,-134806.45037047897,2464,1086,-414804.71,328332.91,-0.075812,-0.024296,-106664.67,-86231.41,-73829.65,-59140.93,-48551.06,-28742.22,-10113.47,19063.86,68157.12,243612.25
20190426,9984.1,10000000.0,-10000000.0,0.000499,53704.16447564437,-38577.653591791226,2414,1136,-119803.59,129787.7,0.012643,-0.011981,-25596.63,-23180.25,-24968.89,-15171.14,-14662.8,-9994.16,-3909.93,5572.53,22148.41,104889.36
20190429,-21634.99,10000000.0,-10000000.0,-0.001082,105459.51456211752,-122798.19838834844,2450,1100,-356266.38,334631.39,-0.012715,-0.007744,-92265.99,-71589.96,-64855.52,-55526.58,-40478.46,-23864.07,-5593.47,21499.66,75310.85,240024.85
20190430,104157.48,10000000.0,-10000000.0,0.005208,86280.57127444056,22892.86027837488,2439,1112,127302.75,-23145.27,0.085338,0.005172,35324.47,29094.63,25840.33,16784.86,12728.42,8043.63,1251.17,-5424.54,-13762.09,-707.44
20190506,24669.75,10000000.0,-10000000.0,0.001233,302632.0193824055,-274637.17970343784,2420,1131,-713676.88,738346.62,0.020248,-0.055834,-181642.58,-156654.29,-123474.82,-101925.76,-78203.84,-54058.37,-15987.8,38401.44,145633.65,555907.21
20190507,40110.93,10000000.0,-10000000.0,0.002006,10179.647108274241,34418.22601843305,2393,1158,145844.34,-105733.41,0.034025,0.006856,40037.99,31383.0,27397.89,19744.89,15338.26,9922.68,3631.9,-7865.14,-33478.92,-61514.69
20190508,5575.38,10000000.0,-10000000.0,0.000279,11700.750520346215,-3350.697050765948,2410,1141,-9859.89,15435.28,0.006987,-0.011152,-1850.13,-5282.29,1900.17,1563.18,-2994.37,-1634.45,-528.78,934.07,4228.45,12014.2
20190509,5347.5,10000000.0,-10000000.0,0.000267,32204.187442752962,-24156.842795220167,2437,1115,-88893.79,94241.29,0.007268,-0.014791,-30330.53,-16007.41,-14649.04,-10474.48,-10508.75,-4318.55,-1488.23,5594.89,8379.11,81850.34
20190510,-109678.49,10000000.0,-10000000.0,-0.005484,-179062.5704388318,73320.01720372862,2410,1142,312208.75,-421887.23,-0.124501,0.030957,73974.62,68861.16,56696.73,45693.64,36693.74,24051.48,7592.78,-20494.96,-73581.39,-325230.35
20190513,-19584.1,10000000.0,-10000000.0,-0.000979,4644.494959887558,-21242.96910377571,2432,1121,-67993.9,48409.8,-0.016901,-0.012077,-28514.22,-11043.85,-11530.07,-6237.08,-6390.26,-2108.74,-1081.87,1826.07,11525.59,36955.94
20190514,-33873.23,10000000.0,-10000000.0,-0.001694,-16724.18250995218,-11430.097063845358,2459,1094,-91104.7,57231.47,-0.036204,-0.006923,-29178.69,-16932.4,-16229.14,-13667.35,-6121.39,-5298.77,-1292.08,1951.14,13181.86,45432.56
20190515,-17526.94,10000000.0,-10000000.0,-0.000876,-99123.1224078402,84719.3169278354,2449,1104,205833.62,-223360.56,-0.018277,0.019097,49707.48,44013.74,35758.63,28942.84,25769.6,16519.35,6113.55,-10604.57,-45864.37,-164760.04
20190516,77609.77,10000000.0,-10000000.0,0.00388,72828.15508821535,8697.204309272565,2427,1127,101387.19,-23777.41,0.087976,0.005796,29280.49,24441.52,17666.45,11698.63,10913.96,6010.42,2815.37,-2611.21,-2745.36,-15944.91
